date,competition,weight,home_team,away_team,home_goals,away_goals,total_goals,goal_diff,result,btts,over_2_5,over_3_5,home_win,draw,away_win,neutral
2014-09-05,Kirin Challenge Cup,0.6,Japan,Uruguay,0,2,2,-2,A,0,0,0,0,0,1,False
2014-09-05,Friendly,0.1,Brazil,Colombia,1,0,1,1,H,0,0,0,1,0,0,True
2014-09-05,Friendly,0.1,Kazakhstan,Kyrgyzstan,7,1,8,6,H,1,1,1,1,0,0,False
2014-09-05,Friendly,0.1,South Korea,Venezuela,3,1,4,2,H,1,1,1,1,0,0,False
2014-09-05,CFU Caribbean Cup qualification,0.6,Puerto Rico,French Guiana,1,2,3,-1,A,1,1,0,0,0,1,False
2014-09-05,African Cup of Nations qualification,0.6,Senegal,Egypt,2,0,2,2,H,0,0,0,1,0,0,False
2014-09-05,CFU Caribbean Cup qualification,0.6,Saint Kitts and Nevis,Dominica,5,0,5,5,H,0,1,1,1,0,0,False
2014-09-05,CFU Caribbean Cup qualification,0.6,Saint Lucia,Guyana,2,0,2,2,H,0,0,0,1,0,0,True
2014-09-05,CFU Caribbean Cup qualification,0.6,Saint Vincent and the Grenadines,Anguilla,4,0,4,4,H,0,1,1,1,0,0,True
2014-09-05,African Cup of Nations qualification,0.6,Sudan,South Africa,0,3,3,-3,A,0,1,0,0,0,1,False
2014-09-05,CFU Caribbean Cup qualification,0.6,Suriname,Bonaire,2,3,5,-1,A,1,1,1,0,0,1,True
2014-09-06,African Cup of Nations qualification,0.6,Burkina Faso,Lesotho,2,0,2,2,H,0,0,0,1,0,0,False
2014-09-06,African Cup of Nations qualification,0.6,Congo DR,Cameroon,0,2,2,-2,A,0,0,0,0,0,1,False
2014-09-06,African Cup of Nations qualification,0.6,Ethiopia,Algeria,1,2,3,-1,A,1,1,0,0,0,1,False
2014-09-06,African Cup of Nations qualification,0.6,Gabon,Angola,1,0,1,1,H,0,0,0,1,0,0,False
2014-09-06,African Cup of Nations qualification,0.6,Ghana,Uganda,1,1,2,0,D,1,0,0,0,1,0,False
2014-09-06,African Cup of Nations qualification,0.6,Ivory Coast,Sierra Leone,2,1,3,1,H,1,1,0,1,0,0,False
2014-09-06,Friendly,0.1,Mexico,Chile,0,0,0,0,D,0,0,0,0,1,0,True
2014-09-06,African Cup of Nations qualification,0.6,Niger,Cape Verde,1,3,4,-2,A,1,1,1,0,0,1,False
2014-09-06,African Cup of Nations qualification,0.6,Nigeria,Congo,2,3,5,-1,A,1,1,1,0,0,1,False
2014-09-06,Philippine Peace Cup,0.6,Palestine,Taiwan,7,3,10,4,H,1,1,1,1,0,0,True
2014-09-06,Philippine Peace Cup,0.6,Philippines,Myanmar,2,3,5,-1,A,1,1,1,0,0,1,False
2014-09-06,Friendly,0.1,Singapore,Papua New Guinea,2,1,3,1,H,1,1,0,1,0,0,False
2014-09-06,African Cup of Nations qualification,0.6,Tunisia,Botswana,2,1,3,1,H,1,1,0,1,0,0,False
2014-09-06,Friendly,0.1,Vietnam,Hong Kong,3,1,4,2,H,1,1,1,1,0,0,False
2014-09-06,African Cup of Nations qualification,0.6,Zambia,Mozambique,0,0,0,0,D,0,0,0,0,1,0,False
2014-09-07,CFU Caribbean Cup qualification,0.6,Bonaire,Barbados,1,4,5,-3,A,1,1,1,0,0,1,True
2014-09-07,Friendly,0.1,Burundi,Tanzania,2,0,2,2,H,0,0,0,1,0,0,False
2014-09-07,UNCAF Cup,0.6,Costa Rica,Panama,2,2,4,0,D,1,1,1,0,1,0,True
2014-09-07,UEFA Euro qualification,0.85,Denmark,Armenia,2,1,3,1,H,1,1,0,1,0,0,False
2014-09-07,CFU Caribbean Cup qualification,0.6,Dominica,Saint Lucia,1,2,3,-1,A,1,1,0,0,0,1,True
2014-09-07,UEFA Euro qualification,0.85,Faroe Islands,Finland,1,3,4,-2,A,1,1,1,0,0,1,False
2014-09-07,CFU Caribbean Cup qualification,0.6,French Guiana,Curaçao,0,0,0,0,D,0,0,0,0,1,0,True
2014-09-07,UEFA Euro qualification,0.85,Georgia,Republic of Ireland,1,2,3,-1,A,1,1,0,0,0,1,False
2014-09-07,UEFA Euro qualification,0.85,Germany,Scotland,2,1,3,1,H,1,1,0,1,0,0,False
2014-09-07,UEFA Euro qualification,0.85,Gibraltar,Poland,0,7,7,-7,A,0,1,1,0,0,1,True
2014-09-07,UEFA Euro qualification,0.85,Greece,Romania,0,1,1,-1,A,0,0,0,0,0,1,False
2014-09-07,UEFA Euro qualification,0.85,Hungary,Northern Ireland,1,2,3,-1,A,1,1,0,0,0,1,False
2014-09-07,Friendly,0.1,Kosovo,Oman,1,0,1,1,H,0,0,0,1,0,0,False
2014-09-07,African Cup of Nations qualification,0.6,Mali,Malawi,2,0,2,2,H,0,0,0,1,0,0,False
2014-09-07,Friendly,0.1,Morocco,Libya,3,0,3,3,H,0,1,0,1,0,0,False
2014-09-07,Friendly,0.1,Paraguay,United Arab Emirates,0,0,0,0,D,0,0,0,0,1,0,True
2014-09-07,UEFA Euro qualification,0.85,Portugal,Albania,0,1,1,-1,A,0,0,0,0,0,1,False
2014-09-07,CFU Caribbean Cup qualification,0.6,Puerto Rico,Grenada,2,2,4,0,D,1,1,1,0,1,0,False
2014-09-07,Friendly,0.1,Serbia,France,1,1,2,0,D,1,0,0,0,1,0,False
2014-09-08,Friendly,0.1,Australia,Saudi Arabia,3,2,5,1,H,1,1,1,1,0,0,True
2014-09-08,UEFA Euro qualification,0.85,Austria,Sweden,1,1,2,0,D,1,0,0,0,1,0,False
2014-09-08,UEFA Euro qualification,0.85,Estonia,Slovenia,1,0,1,1,H,0,0,0,1,0,0,False
2014-09-08,Friendly,0.1,South Korea,Uruguay,0,1,1,-1,A,0,0,0,0,0,1,False
2014-09-08,UEFA Euro qualification,0.85,Luxembourg,Belarus,1,1,2,0,D,1,0,0,0,1,0,False
2014-09-08,UEFA Euro qualification,0.85,Montenegro,Moldova,2,0,2,2,H,0,0,0,1,0,0,False
2014-09-08,UEFA Euro qualification,0.85,Russia,Liechtenstein,4,0,4,4,H,0,1,1,1,0,0,False
2014-09-08,UEFA Euro qualification,0.85,San Marino,Lithuania,0,2,2,-2,A,0,0,0,0,0,1,False
2014-09-08,UEFA Euro qualification,0.85,Spain,North Macedonia,5,1,6,4,H,1,1,1,1,0,0,False
2014-09-08,UEFA Euro qualification,0.85,Switzerland,England,0,2,2,-2,A,0,0,0,0,0,1,False
2014-09-08,UEFA Euro qualification,0.85,Ukraine,Slovakia,0,1,1,-1,A,0,0,0,0,0,1,False
2014-09-08,Friendly,0.1,Uzbekistan,New Zealand,3,1,4,2,H,1,1,1,1,0,0,False
2014-09-09,UEFA Euro qualification,0.85,Andorra,Wales,1,2,3,-1,A,1,1,0,0,0,1,False
2014-09-09,UEFA Euro qualification,0.85,Azerbaijan,Bulgaria,1,2,3,-1,A,1,1,0,0,0,1,False
2014-09-09,UEFA Euro qualification,0.85,Bosnia and Herzegovina,Cyprus,1,2,3,-1,A,1,1,0,0,0,1,False
2014-09-09,Friendly,0.1,China,Jordan,1,1,2,0,D,1,0,0,0,1,0,False
2014-09-09,UEFA Euro qualification,0.85,Croatia,Malta,2,0,2,2,H,0,0,0,1,0,0,False
2014-09-09,UEFA Euro qualification,0.85,Czech Republic,Netherlands,2,1,3,1,H,1,1,0,1,0,0,False
